Country,"Net Cost, % of average wage","Cost, as % of net family income",Child care spending as % of GDP,Pre-primary spending as % of GDP
Greece,4.9,3.2,0.1,0.1
Belgium,5.8,4.7,0.2,0.8
Hungary,6.2,4.2,0.1,0.6
Estonia,6.6,3.7,0.0,0.3
Poland,7.1,4.8,0.0,0.3
Sweden,7.1,4.7,0.6,1.1
Slovak Republic,7.4,3.9,0.1,0.4
Portugal,7.7,4.8,0.0,0.4
Iceland,7.9,5.0,0.2,0.9
Spain,8.2,4.7,0.5,0.5
Luxembourg,8.7,5.4,0.4,0.4
Czech Republic,10.6,6.6,0.1,0.4
Denmark,11.2,8.9,0.8,1.3
Finland,12.2,8.4,0.7,0.9
Netherlands,13.2,10.1,0.3,0.7
Germany,14.1,11.1,0.1,0.4
Korea,15.2,8.5,0.2,0.3
France,16.5,10.4,0.4,1.0
Norway,16.8,10.8,0.7,1.0
Austria,16.8,11.8,0.3,0.3
Israel,18.3,11.0,0.1,0.7
"OECD, all",18.4,11.8,0.2,0.6
Slovenia,19.9,13.7,..,0.5
Australia,22.5,14.5,0.2,0.4
Japan,28.1,16.9,0.2,0.3
New Zealand,28.6,18.6,0.1,0.8
Canada,29.5,18.5,..,0.2
USA,38.1,23.1,0.1,0.4
UK,40.9,26.6,0.4,1.1
Ireland,45.2,25.6,0.3,0.3
Switzerland,77.7,50.6,0.1,0.2